PHYS476,Social Development II ECON
ART213,Calculus I ART
SOC212,Research in ECON,CS327
BIO322,Advanced MATH
HIST278,English I BIO
ENG69326,Methods in MATH
SOC481,Physics SOC
ART539,Machine Learning ART
BIO171,Seminar on SOC
ART147,Data Structures SOC
SOC32460,Fundamentals of CS,ECON294
MUS134,Seminar on MIS
MATH285,Principles of HIST
MIS368,Workshop in PSY,CHEM91576
ENG387,Research in CHEM
ART589,Workshop in ART,SOC556
PSY504,Applications of ENG
ART464,Calculus I HIST,CHEM559
MATH350,Calculus II MUS
MUS575,Machine Learning ECON
ECON167,Topics in CS
SOC538,Topics in ECON,PSY151
BIO191,English I MUS
CS587,Workshop in ART,BIO264
PHYS396,Topics in MUS
ART511,Artificial Intelligence BIO
MATH401,Theory of CHEM,MATH112
CS535,Lab in PSY
HIST414,Workshop in ECON
ECON482,Calculus II STAT
ECON139,Social Development II PHYS,MUS196
HIST404,Chemistry HIST,PSY88412
ART560,Biology PHYS,STAT468
CHEM368,Calculus II PSY
ECON122,Topics in STAT
CS194,Microbiology ECON
HIST523,Seminar on MATH
MUS550,Calculus I ENG
CHEM336,Social Development II BIO
MUS293,Social Development II ECON
MIS143,Principles of ENG,MUS115
STAT80880,Applications of PSY
ART324,Research in STAT
CS498,Machine Learning CHEM,CHEM137
HIST238,Advanced MATH
ENG484,Astrophysics STAT
ECON410,Astrophysics PSY
STAT76585,Regression Analysis SOC,SOC335
PHYS240,Physics MUS
MUS336,Principles of BIO
ENG448,Regression Analysis PSY
MUS320,Topics in MIS
MUS561,Fundamentals of MUS
STAT52868,English II CHEM,MIS429
ENG56360,Artificial Intelligence SOC
PHYS41165,Statistics CHEM
ENG406,Social Development I MUS
MATH180,Social Development II PHYS
MUS597,Intro to MUS
MUS200,Advanced STAT
PHYS491,Cognitive Science PHYS
PSY188,Chemistry HIST,MIS117
PSY92822,Social Development I MUS
BIO571,Biology MATH
CHEM569,Seminar on CHEM
HIST470,Calculus I BIO
ECON573,Chemistry PHYS,ART578
ENG284,Astrophysics ECON
STAT271,Principles of HIST,BIO479
MUS589,English II CS
PSY460,Data Structures MIS
HIST447,Cognitive Science HIST
MATH496,Lab in PHYS
PHYS70712,Applications of HIST
PSY95601,English I MIS
BIO485,Lab in ART,BIO217
SOC174,Microbiology MATH
CHEM368,Calculus II ENG
STAT353,Theory of PSY
ART24050,Theory of HIST
HIST356,Fundamentals of MIS
PSY117,Advanced ECON
ART516,Social Development II ECON
BIO460,Machine Learning BIO
MUS73268,Applications of MUS
MIS415,Fundamentals of STAT,SOC81956
ENG438,Lab in MIS,SOC133
SOC110,English II HIST,HIST144
STAT138,Machine Learning PHYS
SOC121,Calculus I CHEM,ENG315
HIST233,English I ECON
BIO355,Astrophysics ENG,ENG424
ENG461,Data Structures STAT
ECON342,Machine Learning CHEM
CS242,Social Development II ART
MATH152,Regression Analysis ART,CS202
ECON406,Statistics ENG
CS536,Intro to MIS,SOC25163
STAT579,Thermodynamics CHEM
MUS276,English II SOC,MATH15197
BIO477,Principles of MUS
HIST383,Artificial Intelligence PSY
CHEM492,Topics in ART
MIS506,English I MIS
MATH285,Statistics CHEM,CHEM518
ECON54785,Social Development II PSY
CHEM201,Calculus I ENG,ECON487
MIS583,English II HIST
ART16689,Principles of MUS,ART516
BIO279,Research in CHEM,SOC139
ENG278,Fundamentals of PHYS
BIO589,Regression Analysis PHYS
SOC256,Machine Learning CHEM
MATH421,Calculus II CS,ART69932
SOC261,Intro to STAT,MIS533
CS125,Microbiology CS
ENG424,English II CHEM,MUS133
MIS86363,Lab in STAT
PSY541,Physics BIO
PSY340,Methods in ART
BIO471,Topics in PHYS,ENG450
STAT122,Research in CS
SOC581,English II CS
STAT107,Physics CS
SOC89736,Chemistry ECON
ENG229,Research in STAT
SOC447,Calculus II HIST
MUS351,Applications of STAT
STAT440,Applications of HIST,MIS515
ENG325,Intro to ECON,STAT248
PHYS24700,Cognitive Science SOC
STAT156,Data Structures STAT
BIO277,Research in HIST,BIO219
BIO307,Machine Learning ENG,MIS173
ECON480,Theory of MUS
MUS456,Principles of SOC
CS26169,Lab in ART,HIST296
STAT173,Biology SOC,CS411
SOC319,English I CHEM
PHYS476,Workshop in ENG
MIS109,Advanced MUS,ENG249
PHYS138,Data Structures HIST
ART438,Intro to MIS
CHEM219,Social Development I PHYS
CHEM58716,Research in ENG
ECON334,Intro to CHEM
CS480,Regression Analysis BIO
MIS516,Regression Analysis ENG,CHEM280
HIST103,Social Development I ECON
HIST259,Methods in HIST,PSY547
ENG183,Social Development II PSY,PHYS166
ENG56600,Lab in HIST
STAT417,Advanced MATH
HIST116,Theory of MIS
ART372,Social Development II MUS
MATH319,Theory of MUS,ART301
ECON315,Applications of CS
CS404,Physics PSY
STAT165,Statistics PHYS,ART330
CS110,Seminar on BIO,MIS578
CS294,Principles of MUS
PHYS534,Regression Analysis MUS
PHYS437,English I PSY
PSY439,Intro to CHEM,BIO245
ECON533,Calculus II ART
CS301,Chemistry ECON
MUS11476,Cognitive Science ENG
PHYS594,Advanced MUS
BIO50602,Artificial Intelligence CS,SOC472
MUS151,Cognitive Science MATH
CS281,Social Development II PSY
ECON96840,Methods in ECON,HIST80561
STAT566,Calculus II CHEM
ECON154,Fundamentals of HIST
ART218,Cognitive Science STAT
CS309,Lab in MUS
MIS69841,Lab in CS,MATH312
MATH71845,Data Structures MATH
MATH177,Thermodynamics CHEM,ENG565
ENG546,Fundamentals of HIST
SOC42883,Cognitive Science ENG
CHEM28702,Advanced ENG,STAT404
BIO345,Workshop in PHYS,HIST79968
MIS191,Regression Analysis PHYS
MIS276,Microbiology STAT
CHEM522,Calculus II BIO
ART523,Social Development II ENG
ART545,Seminar on CHEM
BIO124,Principles of STAT
CS480,Regression Analysis MIS
PSY264,Biology PHYS
ART315,Microbiology STAT
CS390,Biology PHYS
MATH15907,Social Development I ECON
MUS102,English I MIS,HIST596
CS466,Research in ART
PSY214,Regression Analysis STAT,SOC440
STAT534,English I HIST
CHEM467,Methods in HIST
STAT568,Topics in SOC
MUS266,English II CS
BIO533,Topics in ENG
PHYS120,Chemistry STAT
HIST174,Topics in SOC
STAT576,Machine Learning CHEM
CS571,Research in CS
MUS560,English II PSY
CHEM218,Thermodynamics SOC
STAT139,Workshop in BIO,MUS580
MATH463,Methods in PSY
HIST316,Calculus II SOC
SOC570,Calculus II PHYS,PSY440
STAT273,Calculus II PSY,CHEM88928
HIST415,Fundamentals of HIST
PHYS542,Social Development I CS,HIST231
ENG74122,English I MATH
STAT534,Calculus II PHYS
ENG139,Seminar on CHEM,CHEM293
STAT466,Principles of CS
ENG460,Cognitive Science SOC
ART447,Seminar on PHYS
PHYS170,Calculus II PSY
ECON495,Chemistry MIS
SOC240,Thermodynamics HIST,CHEM193
CS191,Artificial Intelligence ECON
ENG594,Biology CHEM,ART445
MATH186,Methods in MUS
PHYS591,English I BIO
PSY384,Artificial Intelligence STAT
CHEM432,Research in PSY
CS47797,Chemistry BIO
MIS207,Methods in BIO
STAT326,Social Development I HIST,BIO69984
ECON254,Calculus II ECON,HIST278
MIS330,Applications of ENG
HIST271,Physics MATH
CS337,Data Structures MIS
CS426,Cognitive Science HIST
HIST49188,Principles of CS
CS269,Theory of MUS
HIST179,Methods in HIST
CHEM350,Data Structures SOC
HIST243,Biology ECON,BIO575
CS337,Applications of ECON
SOC190,Methods in ENG
PSY138,Calculus I ECON
BIO232,Workshop in MATH
STAT167,Applications of CHEM
PHYS417,Methods in PSY
CS241,Research in CHEM
PHYS148,Artificial Intelligence MATH,ECON170
ART21273,Machine Learning CS
ART141,Applications of ECON,MATH435
SOC514,Statistics STAT
ART227,Data Structures MUS,MIS534
MUS210,Regression Analysis HIST
ENG496,Topics in PHYS
CHEM106,Research in MIS
MATH163,Fundamentals of CS,PSY534
CS121,Intro to HIST
HIST287,Applications of PHYS
SOC156,Principles of ENG,CS50082
PSY64083,Research in MIS
PHYS397,Lab in HIST
CHEM481,Statistics MUS
CS536,Astrophysics PHYS
BIO412,Theory of CHEM
MUS257,Statistics MUS
SOC521,Thermodynamics STAT
MUS211,Regression Analysis SOC,MATH408
STAT113,Microbiology CHEM,PSY279
BIO599,Astrophysics PSY
ECON161,Workshop in ART,PSY199
ECON222,Theory of CS
PSY413,Theory of STAT
ART238,English I HIST
ART320,Intro to ENG,BIO404
ECON243,Thermodynamics PHYS
ENG415,Social Development I ECON
ECON208,English I SOC
CHEM139,Topics in PHYS,MATH461
ENG314,English I ART,HIST593
BIO346,Seminar on MATH,SOC201
CHEM409,Lab in CHEM
MIS187,Theory of ECON
CS554,Microbiology PSY
ART345,Regression Analysis MIS
BIO142,Chemistry BIO
PSY307,Calculus II MATH
STAT377,Social Development II MIS,HIST151
MIS545,Fundamentals of ENG,ENG386
ECON435,English I MUS
MATH559,Research in MUS
PSY587,Chemistry BIO
CS544,Calculus I SOC
MATH305,Thermodynamics SOC,SOC440
STAT368,Artificial Intelligence PHYS
ART233,Chemistry ECON
ECON362,Methods in MIS
CHEM277,Lab in PSY,CS129
MUS286,Biology MIS
MUS219,Social Development I BIO,HIST144
ENG206,Intro to SOC
MATH564,Data Structures ART
MIS420,Fundamentals of MIS
ECON286,Applications of CHEM
ART46503,Physics PSY
MIS324,Advanced ENG
BIO316,Principles of CHEM,PSY362
PHYS426,Principles of ENG
PSY524,Data Structures CHEM,ART213
MUS479,Calculus I SOC,MUS456
CS560,Social Development II PHYS,CS555
ENG586,Social Development II SOC
HIST149,Lab in BIO
PSY231,Theory of PSY,MIS564
PSY520,Theory of MATH
PHYS142,Calculus II ECON
ART524,Astrophysics MUS
PSY121,Calculus II SOC
HIST565,Social Development I MIS,SOC442
CS337,Astrophysics ART
MATH120,Physics PHYS
MATH72301,English I ECON
CHEM362,Intro to PSY
PHYS418,Chemistry MIS,ART172
PHYS141,Astrophysics MATH,HIST434
CS166,Applications of MUS
MATH336,Astrophysics CS
SOC472,Calculus II MATH
STAT480,Applications of ART,ECON159
STAT455,Workshop in STAT
PHYS349,Advanced HIST
PSY327,Topics in MUS
BIO459,English II PHYS,CS426
CHEM67398,Topics in ECON,CHEM475
CHEM346,Social Development I MUS
ECON464,Data Structures STAT,MATH338
SOC471,Calculus I STAT
HIST570,Lab in MIS
CHEM507,Intro to CHEM
MUS133,English I BIO,ECON11236
PSY359,Seminar on ART
STAT437,Fundamentals of MUS
MIS286,Research in BIO
ENG352,Seminar on MUS
MATH525,Theory of ENG
HIST238,English II MATH
ENG225,English II MUS
PSY453,Social Development II MUS
ECON296,English II HIST,ENG74122
CHEM87383,Social Development I SOC,ART372
PSY194,Topics in MIS,PHYS221
PSY326,Seminar on HIST
MUS144,Theory of MUS,BIO562
ART443,Principles of MATH
BIO588,Statistics PHYS
MIS412,Regression Analysis PHYS,STAT166
CS130,Calculus II BIO,ENG336
PSY506,Social Development I MUS,BIO510
CS38412,Machine Learning ENG
PHYS26205,English II ART
CHEM524,Fundamentals of ECON
BIO350,Methods in ECON
PHYS479,Lab in MUS
PHYS197,Data Structures MUS
ART368,Statistics STAT,MIS598
HIST314,Machine Learning ART
SOC175,English I ECON
PSY139,Machine Learning ART
CHEM587,English II ART
CHEM114,Theory of MIS,SOC290
PHYS344,English II PHYS
MIS193,Principles of ENG
STAT521,Chemistry PHYS
ENG105,Chemistry SOC
PSY439,Lab in STAT
MUS63176,Seminar on BIO
MIS409,Chemistry MATH,MIS419
ECON134,Chemistry MATH,ECON280
MATH107,Machine Learning ECON,BIO598
BIO593,Physics HIST,SOC140
PSY141,Cognitive Science HIST,PHYS546
BIO146,Lab in PSY
BIO176,Social Development I PHYS
ENG319,Topics in CHEM
ECON409,Topics in MATH
ART148,Regression Analysis ART
CS506,English I SOC
CHEM539,Seminar on ART
ART306,Data Structures BIO
MATH423,Thermodynamics ENG
CHEM501,Chemistry HIST,CS520
ENG172,Regression Analysis ART,HIST346
PSY71014,English II CHEM
CHEM309,Calculus II MUS,HIST411
ECON166,Chemistry STAT,ENG450
MUS330,Machine Learning MIS,ART179
STAT372,Social Development II CHEM
MUS319,Chemistry SOC,ART353
CS369,Machine Learning HIST,ENG418
ENG106,Theory of CS
MUS436,Statistics PHYS
CS523,Machine Learning MATH,SOC337
MATH179,Applications of CHEM
BIO320,Principles of PSY,PHYS210
HIST411,Cognitive Science PSY
ART439,Social Development II MIS,STAT175
MUS321,Methods in MATH
MIS590,Topics in CS
CS395,Social Development I SOC
STAT290,Seminar on PHYS
ECON510,Topics in PHYS
MIS172,Principles of SOC
STAT62026,Cognitive Science CHEM
HIST411,Applications of ART,SOC207
SOC425,Biology ART,PHYS410
STAT568,English I MIS
ENG230,Theory of STAT
HIST191,Topics in MIS
BIO208,English I MUS,MIS303
PSY307,Data Structures ECON
MIS534,Advanced MIS,BIO367
PHYS319,Principles of CS
CS433,Principles of MATH
CHEM555,Calculus II ECON
MUS481,English II PSY,STAT54019
CHEM292,English I MIS
HIST375,Statistics BIO
CHEM460,Regression Analysis PHYS
HIST18063,Social Development II MUS
CS275,Data Structures MATH,ENG300
ART34567,Workshop in MATH,ENG545
SOC210,Chemistry MATH
SOC314,Research in BIO,BIO178
ART572,Cognitive Science ART,ART589
MATH588,Theory of PHYS
MUS287,Workshop in PSY
MATH226,Biology ART
MUS188,Thermodynamics STAT
ART144,Fundamentals of CS,SOC301
MIS534,Lab in BIO
HIST30957,Methods in PHYS,MUS405
BIO103,Microbiology MIS
ENG389,Machine Learning HIST
SOC141,Principles of MIS
PHYS445,Advanced ECON
STAT515,Chemistry ECON,MATH291
MUS585,Cognitive Science MUS
MUS106,Regression Analysis CS
BIO367,Seminar on CHEM
MIS294,Social Development II MIS
CS550,Chemistry MATH
BIO271,Artificial Intelligence CS
MIS502,Regression Analysis BIO,SOC226
MIS255,Seminar on PHYS
ECON264,Principles of MUS,STAT209
CS97023,Chemistry ECON
CS523,Cognitive Science PHYS
ECON528,Social Development II MIS
PSY206,Theory of STAT
MIS499,Theory of SOC
STAT332,Social Development II MATH
ART71802,Principles of BIO
SOC290,Astrophysics BIO
ECON538,Methods in ART
PHYS286,Applications of CS
PHYS519,Cognitive Science CS,PHYS197
STAT108,Microbiology ECON
CS196,Physics PSY
HIST457,Topics in STAT
SOC431,Microbiology PSY
STAT494,Regression Analysis ECON
ENG442,Seminar on PSY,ART134
HIST426,Topics in STAT
PHYS259,Methods in ENG
ENG32642,Fundamentals of PHYS
ECON405,Theory of HIST
SOC186,Methods in STAT
CS85879,Calculus I ECON
ART276,Microbiology ECON,MATH55754
MUS358,English II STAT,ART523
MIS169,Chemistry BIO
MUS495,Social Development II PHYS
PHYS395,Lab in STAT,ART443
CHEM205,Astrophysics ENG
MATH408,Fundamentals of ECON
MUS207,Social Development I CS
CHEM281,Chemistry ECON
HIST595,Principles of PHYS,MIS292
ECON97438,Social Development II MUS
MATH366,Theory of BIO
PHYS359,Social Development I BIO
ENG303,Machine Learning ART
MIS512,Calculus I STAT
PHYS162,Thermodynamics MATH,ECON83987
MUS141,Chemistry BIO,ENG271
PSY140,Calculus II CS
CHEM256,Chemistry BIO
SOC296,Methods in ART
PSY324,Advanced ENG,MIS97717
ECON553,Seminar on SOC
SOC347,Regression Analysis MUS
STAT396,Applications of MUS,MUS415
PSY162,Cognitive Science PHYS
BIO143,Physics MATH,MUS299
CHEM131,Research in PHYS
BIO264,Regression Analysis PHYS,PSY373
MIS434,Topics in MUS,HIST238
SOC561,Calculus I ENG
MIS168,Data Structures CS
ECON157,Lab in MIS,ENG120
CHEM493,Theory of PHYS
BIO102,Social Development I PSY,SOC212
CS342,Thermodynamics MUS
SOC320,Advanced MATH,MUS232
CS260,Lab in CHEM,ART171
CS375,Social Development I MATH,CS25052
MUS18802,Topics in MIS
BIO294,English I CS
MIS491,Theory of BIO
ART333,Principles of STAT,ECON371
BIO510,Thermodynamics CS
CHEM194,Social Development II MIS
HIST580,English II ART
MUS161,Lab in MIS
SOC535,Data Structures ART
SOC545,Statistics CS,ECON143
CHEM375,English I BIO,ENG39213
ECON141,Machine Learning PHYS,ECON288
HIST330,Lab in CS,ECON269
PHYS122,Regression Analysis CHEM
ECON290,Topics in PHYS
HIST79701,Social Development II ECON,MUS491
ENG145,Research in MUS
SOC440,Machine Learning ECON,MATH63889
ECON542,Regression Analysis CHEM
PSY238,Physics CHEM
BIO265,Social Development II MUS
MIS492,English I STAT
PHYS443,Principles of MIS
CHEM448,Lab in HIST,MUS196
ECON478,Statistics BIO
HIST331,Workshop in MATH,ECON201
MIS402,Calculus I CHEM,PHYS24700
ECON127,English II HIST
HIST196,Workshop in CHEM,ECON489
MIS331,Calculus II MIS,STAT474
ENG49871,Social Development II HIST
SOC495,Astrophysics SOC
ART169,Intro to HIST,ECON249
MIS244,Chemistry HIST,CS536
ECON302,Astrophysics HIST,BIO234
STAT125,Calculus II STAT
HIST373,Machine Learning ECON,PSY85142
ART451,Advanced MUS
CHEM158,Microbiology PSY,ECON166
MUS451,Workshop in CS
HIST420,Biology ECON
ECON227,Intro to MATH
SOC95302,Calculus II PSY
CS442,Astrophysics ART
STAT509,Astrophysics STAT,HIST525
STAT571,Calculus II ECON
ART173,Social Development II PHYS
BIO131,Applications of BIO
STAT428,Statistics ART
CHEM98528,Intro to STAT
CHEM111,Principles of HIST,HIST411
MIS224,Artificial Intelligence PSY,MUS298
BIO65698,Data Structures MATH
CHEM497,Advanced MATH,STAT439
ECON160,Social Development I BIO,PHYS197
ECON224,Topics in CHEM
MATH260,Methods in CS,BIO102
ENG240,Workshop in ART
SOC405,Chemistry CS
STAT531,Calculus I PHYS,STAT144
MIS328,Astrophysics MATH,BIO333
PSY33784,Statistics PHYS
CS372,Advanced MIS
HIST121,Microbiology CS
BIO509,Calculus I ART
ART54007,Cognitive Science MATH
HIST92120,Cognitive Science SOC
CS220,Principles of ART
HIST522,English II CS
MUS371,Intro to PSY
MATH298,Social Development II MIS
PHYS446,Topics in SOC
MIS253,Workshop in ECON
ECON124,Machine Learning PSY
MIS390,Principles of HIST
CS349,Seminar on BIO
ART183,Applications of PHYS,CS449
ART488,Social Development II ECON
STAT77632,Theory of ENG
ART12032,Topics in PSY
HIST125,Calculus I CHEM
HIST64304,Methods in MUS
ENG53746,Biology MATH
CS246,Lab in MUS
ENG368,Biology MATH
PHYS132,Calculus II SOC,CS308
MATH461,Social Development II MIS
CS322,Intro to CS
STAT575,Statistics BIO,MUS334
SOC82636,Machine Learning HIST,PSY560
MATH404,Data Structures ART
ENG363,Intro to ENG
BIO114,Chemistry ENG,ECON397
SOC467,Advanced ART,SOC233
CHEM98810,Thermodynamics CHEM
ECON170,Principles of ENG
ENG597,Advanced STAT,SOC559
MUS536,Theory of SOC
STAT409,Topics in CHEM
BIO123,Calculus I BIO,BIO481
SOC99174,Chemistry ECON,HIST350
ART570,Advanced CHEM,PHYS133
ENG338,Theory of CHEM
ECON248,Social Development II MATH
BIO494,Principles of ECON
ART401,Machine Learning STAT,ENG158
PSY164,Principles of CS,CHEM112
MATH331,Workshop in CS
CS123,Workshop in ECON
ART276,Cognitive Science MUS,MIS445
MUS568,Astrophysics CHEM
ART307,English II PSY,ENG412
MUS460,Advanced CS
STAT99139,Artificial Intelligence PHYS
CHEM453,English II ENG
CS19110,Workshop in SOC
BIO444,Social Development II HIST
MUS395,Fundamentals of HIST
CS558,Astrophysics CHEM
CHEM56798,Social Development II MUS
MATH550,Regression Analysis PHYS,HIST584
MIS110,Physics PSY,MIS329
BIO21014,Research in PHYS,SOC520
ART470,Intro to PSY
CS102,Cognitive Science PHYS,ECON456
CHEM117,Machine Learning ENG
BIO119,Social Development II PHYS
SOC488,Calculus II ART,SOC477
MATH288,Social Development I MATH
HIST97663,Regression Analysis CHEM,PHYS599
HIST371,Astrophysics STAT,CS498
MUS417,Calculus I ART
STAT332,Methods in PHYS
MIS363,Data Structures MATH,ENG293
CS404,Calculus I CS
MATH243,Social Development I STAT
MIS404,Astrophysics ART
ECON528,Advanced MIS
MUS435,Artificial Intelligence PHYS
PHYS305,Artificial Intelligence STAT
BIO260,Seminar on HIST,MUS358
ECON15712,English I SOC
ECON443,Calculus I CHEM
MATH575,Machine Learning CS
MUS147,Advanced HIST
ART181,Data Structures CHEM,PSY226
PSY190,Intro to HIST
CHEM575,Intro to ENG,STAT480
HIST76688,Methods in ART
MIS183,Lab in MUS
PHYS329,Data Structures MATH
MIS279,Chemistry STAT,MATH473
HIST96252,Workshop in ENG,MUS156
BIO303,Theory of MUS
MUS241,English I CHEM
PHYS274,Regression Analysis SOC
STAT282,Advanced CHEM,ECON64615
